               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.028166,            0.016021,           0.0019622,             0.95182,             0.89568,             0.94822,             0.67145,            0.022126,           0.0074206,           0.0013477,            0.001684,            0.001684,            0.001684
                 128,             0.02785,            0.015901,           0.0019115,             0.95442,             0.89692,             0.94933,             0.67071,            0.022126,            0.007417,           0.0013493,            0.001618,            0.001618,            0.001618
                 129,            0.028032,             0.01612,           0.0019845,             0.95288,             0.89529,             0.94954,             0.67126,            0.022109,           0.0074052,           0.0013615,            0.001552,            0.001552,            0.001552
                 130,            0.027908,            0.015927,           0.0020806,             0.95897,             0.89521,             0.95082,             0.67013,            0.022091,           0.0073939,           0.0013677,            0.001486,            0.001486,            0.001486
                 131,             0.02801,            0.016111,           0.0019024,             0.95758,             0.89697,             0.95075,             0.67043,            0.022064,           0.0073917,            0.001373,             0.00142,             0.00142,             0.00142
                 132,            0.027553,            0.016035,           0.0020125,             0.95714,             0.89348,             0.95039,              0.6724,            0.022044,           0.0073812,           0.0013666,            0.001354,            0.001354,            0.001354
                 133,            0.027906,             0.01596,           0.0019685,             0.95692,             0.89416,             0.95009,             0.67326,            0.022023,           0.0073711,           0.0013651,            0.001288,            0.001288,            0.001288
                 134,             0.02752,            0.015709,           0.0019595,             0.95722,             0.89361,             0.95009,             0.67341,            0.022019,           0.0073727,           0.0013692,            0.001222,            0.001222,            0.001222
                 135,            0.027492,            0.015916,           0.0019418,             0.95396,             0.89268,             0.95031,             0.67367,            0.022001,            0.007368,           0.0013586,            0.001156,            0.001156,            0.001156
                 136,            0.027605,             0.01604,           0.0019804,             0.95157,               0.891,             0.94928,             0.67151,            0.022001,           0.0073637,           0.0013483,             0.00109,             0.00109,             0.00109
                 137,            0.027304,            0.015835,           0.0018787,             0.95501,             0.89384,             0.94975,             0.67327,            0.022005,           0.0073599,           0.0013355,            0.001024,            0.001024,            0.001024
                 138,            0.027282,            0.015936,           0.0019276,             0.95472,             0.89574,             0.95046,             0.67352,            0.021984,           0.0073514,            0.001327,            0.000958,            0.000958,            0.000958
                 139,            0.026993,            0.015793,           0.0018303,             0.95614,             0.89436,             0.95076,             0.67451,             0.02195,           0.0073478,           0.0013086,            0.000892,            0.000892,            0.000892
                 140,            0.026919,            0.015733,            0.001882,             0.95436,             0.89414,             0.95064,             0.67667,            0.021926,           0.0073473,           0.0013074,            0.000826,            0.000826,            0.000826
                 141,            0.027302,            0.015797,           0.0019445,             0.95493,             0.89264,             0.95065,             0.67777,            0.021917,           0.0073505,            0.001307,             0.00076,             0.00076,             0.00076
                 142,            0.027043,            0.015706,           0.0018915,             0.95473,             0.89221,             0.94921,              0.6761,            0.021916,           0.0073532,            0.001308,            0.000694,            0.000694,            0.000694
                 143,             0.02693,            0.015538,           0.0019033,             0.95493,             0.89316,              0.9493,             0.67805,            0.021906,           0.0073544,           0.0013182,            0.000628,            0.000628,            0.000628
                 144,             0.02668,            0.015587,            0.001811,              0.9544,             0.89173,             0.95052,              0.6782,            0.021891,           0.0073502,           0.0013225,            0.000562,            0.000562,            0.000562
                 145,            0.026932,            0.015488,           0.0018683,             0.95318,             0.89309,             0.94973,             0.67938,            0.021872,           0.0073447,           0.0013276,            0.000496,            0.000496,            0.000496
                 146,            0.026818,            0.015702,           0.0018689,             0.95472,             0.89205,             0.94789,             0.67754,            0.021854,           0.0073441,           0.0013426,             0.00043,             0.00043,             0.00043
                 147,            0.026614,            0.015424,            0.001882,             0.95651,             0.89414,             0.94921,             0.67832,            0.021835,           0.0073406,           0.0013481,            0.000364,            0.000364,            0.000364
                 148,            0.026577,            0.015602,           0.0018655,             0.95649,             0.89394,             0.94918,             0.67966,            0.021815,           0.0073401,           0.0013533,            0.000298,            0.000298,            0.000298
                 149,            0.026256,             0.01553,           0.0017721,             0.95771,             0.89478,              0.9505,             0.68019,            0.021805,           0.0073396,           0.0013587,            0.000232,            0.000232,            0.000232
